,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20316,16236157,Beautiful townhouse apt on historic street,2748223,Ming,Manhattan,Harlem,40.80447,-73.94623,Entire home/apt,120,14,1,2017-01-01,0.03,1,188
27898,21838962,Quiet Park Slope Sanctuary,6874341,Charlotte,Brooklyn,Park Slope,40.67145,-73.97143,Entire home/apt,115,3,2,2018-06-18,0.11,1,0
45148,34566104,Sonder | Stock Exchange | Warm Studio + Lounge,219517861,Sonder (NYC),Manhattan,Financial District,40.70598,-74.01069,Entire home/apt,222,2,1,2019-05-29,0.73,327,315
33138,26140709,Workspace Room 3 - 2,9864136,Anthony,Brooklyn,Bushwick,40.68644,-73.91554,Private room,36,2,1,2018-08-10,0.09,26,302
27910,21845780,Sky Cabin in Hell’s Kitchen! Steps to Times Square,5067783,Patrick,Manhattan,Hell's Kitchen,40.76564,-73.99118,Private room,125,1,53,2019-06-21,3.0,1,42
17568,13815162,Private room w/1Queen Bed (Lower level),65809485,Shirley,Queens,Flushing,40.74981,-73.82742,Private room,40,7,19,2019-06-21,0.84,12,134
7509,5606308,Amazing 1 BR in Loft in Williamsburg,4514390,Stephanie,Brooklyn,Williamsburg,40.71061,-73.96764,Private room,99,2,41,2019-06-22,0.82,1,143
46378,35227165,Huge 1br/studio in the heart of Williamsburg,15313500,Seymur,Brooklyn,Williamsburg,40.71534,-73.95692,Entire home/apt,225,1,2,2019-07-04,2.0,1,71
29476,22618993,FUN Bushwick Living,150647463,Eréz,Brooklyn,Bushwick,40.69783,-73.9301,Private room,55,14,3,2019-01-02,0.21,2,64
38995,30468736,Spacious apt in Brooklyn Brownstone 1 min to Metro,39523280,Rebecca,Brooklyn,Prospect-Lefferts Gardens,40.66184,-73.9495,Entire home/apt,185,2,30,2019-06-21,4.59,1,281
26286,20957575,Private Room in East Village  *FEMALE Guests only*,52768036,Laura,Manhattan,East Village,40.72793,-73.98876,Private room,85,1,44,2019-06-13,2.01,1,19
34765,27555063,Brooklyn Heights with a breathtaking terrace,63338955,Michael,Brooklyn,Brooklyn Heights,40.6932,-73.9945,Entire home/apt,200,3,4,2019-01-05,0.37,1,0
10312,7897229,Bright Comfy Studio!,598090,Adrienne,Manhattan,Upper West Side,40.777,-73.97708,Private room,180,1,8,2017-07-30,0.17,1,0
41159,32016639,Forest Sanctuary in Bushwick,7964926,Matthew,Brooklyn,Bushwick,40.70118,-73.92176,Entire home/apt,90,2,19,2019-06-23,3.88,1,53
34873,27650553,Cosy bedroom in Bushwick close to L&M train,7780845,Liset,Brooklyn,Bushwick,40.70133,-73.91726,Private room,65,2,3,2019-06-23,0.28,3,28
30316,23435040,1 bd Apartment next to Subway,57292550,Elle,Brooklyn,Sheepshead Bay,40.58591,-73.95099,Entire home/apt,70,2,1,2018-02-27,0.06,1,0
5261,3802538,Best location in NYC,16677444,Jeevan,Manhattan,Hell's Kitchen,40.75882,-73.99168,Private room,99,1,147,2019-05-19,2.84,1,4
47323,35686575,Bright clean near metro,268149976,Lulu,Queens,Elmhurst,40.7315,-73.87931,Private room,35,1,2,2019-06-18,2.0,1,23
647,245607,big 1 bedroom apt very central,825022,Jaidev,Manhattan,Chelsea,40.75127,-73.99637,Entire home/apt,226,5,34,2019-07-01,0.39,1,302
10212,7823495,Elegant Oasis - Private Roof Terrace,11898556,Ola,Manhattan,Chelsea,40.7414,-73.99815,Entire home/apt,800,30,22,2019-06-08,0.48,1,266
44290,34152598,Hip budget friendly room 20 min from Manhattan!,34269923,Annabella,Brooklyn,Bushwick,40.69718,-73.91165,Private room,52,1,7,2019-07-01,4.77,1,0
30918,23946427,Big Bright 1BR Apt in the Heart of Brooklyn!,58390724,Aleksandra,Brooklyn,Midwood,40.62923,-73.95746,Entire home/apt,140,2,19,2019-01-09,1.23,1,165
41722,32443972,Bright/Cozy 1 Bedroom Condo in Heart of Brooklyn!,243716532,Daniel,Brooklyn,Bedford-Stuyvesant,40.69067,-73.95823,Entire home/apt,120,5,12,2019-07-07,3.87,1,137
27146,21467409,Beautiful Brooklyn Brownstone,155885449,Kelly,Brooklyn,Park Slope,40.67643,-73.97824,Entire home/apt,105,7,7,2019-01-07,0.36,1,0
21505,17210984,Artists' Room in Beautiful Brownstone Brooklyn,115845698,Chelsea,Brooklyn,Carroll Gardens,40.68148,-73.99315,Private room,95,3,72,2019-06-30,2.56,1,67
30673,23733244,Bushwick Oasis,6106609,Florentino & Brian,Brooklyn,Bushwick,40.68965,-73.91648,Private room,130,2,30,2019-06-18,2.05,1,290
17253,13650422,Convenient Financial District Studio,2486611,Jem,Manhattan,Financial District,40.70884,-74.00754,Entire home/apt,130,2,15,2018-05-31,0.42,1,0
11211,8684074,The Tranquility Room-large & light,45601111,Dlb,Queens,Laurelton,40.67168,-73.74744,Private room,42,2,54,2018-05-27,1.22,5,189
22649,18327630,Gigantic 2 Bed/2 Bath Step to Columbus Circle&Park,125545452,Tasny,Manhattan,Hell's Kitchen,40.76597,-73.98379,Entire home/apt,325,5,84,2019-06-24,3.15,1,69
7636,5749147,Quiet Attic Room for Single Female Traveler,860636,Shawn(Ta),Bronx,Tremont,40.84061,-73.88858,Private room,30,3,11,2018-10-02,0.45,3,0
34068,26993585,2 BEDS +ROOF DECK+  LAUNDRY-  CLOSE TO METRO!,184090548,Emanuel & Orion,Brooklyn,Williamsburg,40.71269,-73.95815,Private room,95,2,15,2019-02-10,1.28,3,335
42173,32740979,beautiful and clean  studio apartmen in Astoria,52970439,Abraham,Queens,Astoria,40.76604,-73.93108,Entire home/apt,110,2,6,2019-05-18,1.54,1,309
17630,13864224,Spacious Artist's Loft/Apartment,74011703,Stephanie,Manhattan,Financial District,40.71069,-74.00751,Entire home/apt,200,3,6,2016-10-14,0.16,1,0
25135,20137618,Best Sun-Filled Room in NYC with Private Terrace!,2068274,Vinko,Manhattan,East Village,40.72717,-73.98064,Private room,99,3,2,2018-08-30,0.09,1,0
46195,35150643,ONLY LADYS/  3 CAMAS PARA MUJERES EN QUEENS.,223087887,Jess & Ana,Queens,Corona,40.74119,-73.86748,Shared room,25,1,2,2019-06-20,2.0,8,351
2417,1194508,Sunny room - Prime Location,6527494,Mar,Manhattan,Two Bridges,40.71166,-73.9972,Private room,80,1,1,2016-07-01,0.03,1,0
1588,722451,"NYC Spacious 3b, new, river view",3730928,Dustin,Manhattan,Harlem,40.82398,-73.954,Entire home/apt,350,1,1,2015-10-05,0.02,1,0
21803,17524441,Modern Sunlit Room w/ Balcony on Famous Street!,13137787,Zack,Manhattan,East Village,40.72778,-73.98936,Private room,95,4,2,2017-05-29,0.08,1,0
29456,22600713,"Sunny Studio, Lower East Side",1873234,Mikkel,Manhattan,Lower East Side,40.71774,-73.99057,Entire home/apt,140,3,33,2019-05-30,1.91,1,11
12007,9349116,Great place - heart of Williamsburg,5854655,Ian,Brooklyn,Williamsburg,40.71824,-73.95455,Entire home/apt,200,1,1,2016-01-01,0.02,1,0
35635,28291704,Mott Haven Dorm-Bed A,174785358,Rem,Bronx,Port Morris,40.8102,-73.93147,Shared room,28,1,18,2019-06-20,1.93,7,60
1092,459066,******AMAZING DEAL IN NYC*****,2282355,Ivana,Manhattan,Upper East Side,40.76719,-73.95303,Entire home/apt,150,2,23,2019-01-01,0.27,1,0
4453,3046941,Awesome 2 bedroom~murray hill~deal ,1475015,Mike,Manhattan,Murray Hill,40.74462,-73.97488,Entire home/apt,100,30,6,2017-06-30,0.11,52,311
2047,918049,Union Sq European Serene apt,4929807,Liz,Manhattan,Chelsea,40.73949,-73.99483,Entire home/apt,250,3,48,2019-06-23,0.66,1,217
43633,33774285,Lovely Sunny 1br in Bushwick,13500337,Ian,Brooklyn,East New York,40.66641,-73.89133,Private room,65,3,2,2019-05-09,0.8,2,364
38082,30068829,Midtown West - Sunny Queen Room,224414117,Gabriel,Manhattan,Hell's Kitchen,40.75659,-73.99988,Private room,179,1,27,2019-06-23,3.45,30,327
3501,2093035,"Modern & Artsy, Awesome Location",10099888,Enrique,Brooklyn,Williamsburg,40.71243,-73.95873,Private room,91,1,9,2016-07-04,0.14,1,0
28410,22060142,Carroll Gardens Brooklyn Brownstone Guest Quarter,2717905,Nadia,Brooklyn,Carroll Gardens,40.67832,-73.99803,Private room,130,2,2,2018-10-01,0.19,1,179
13385,10039992,Loft @ Heart of Williamsburg,19912320,Charles,Brooklyn,Williamsburg,40.71686,-73.95428,Private room,79,5,3,2017-01-02,0.07,2,0
5142,3701708,Quaint Room in Brooklyn,18866837,Barbara,Brooklyn,Park Slope,40.67916,-73.97454,Private room,65,60,2,2016-09-07,0.03,1,0
19401,15482512,Well Lit Spacious Room with Lots of Amenities,99392252,Michael,Brooklyn,Bedford-Stuyvesant,40.69349,-73.94439,Private room,50,1,171,2019-05-14,5.17,4,0
37873,29965528,1 Bedroom by Central Park - Great Location in NYC,76519640,Alissa,Manhattan,Harlem,40.79965,-73.95076,Private room,75,2,29,2019-06-12,3.73,1,2
9680,7437824,2BR + Roof Top-20min from Manhattan,17942384,Maud,Brooklyn,Park Slope,40.66835,-73.97981,Entire home/apt,129,5,2,2015-08-23,0.04,1,0
39338,30692398,Large bright room in the heart of Bushwick,51431600,Aurélie,Brooklyn,Bushwick,40.70134,-73.92111,Private room,50,5,1,2019-01-03,0.16,1,0
5489,3970936,"Prime Gramercy, Luxury 1BD DOORMAN ",1475015,Mike,Manhattan,Gramercy,40.73771,-73.98058,Entire home/apt,150,30,1,2014-10-08,0.02,52,342
24420,19662367,Brooklyn Garden Retreat,3168812,Laura,Brooklyn,Crown Heights,40.67055,-73.93233,Entire home/apt,48,3,83,2019-06-30,3.62,1,17
2066,925240,Artist Loft - Union Square,4976428,Jonathan,Manhattan,East Village,40.73194,-73.98939,Entire home/apt,295,7,92,2019-06-24,1.23,1,316
23425,18960496,In the Heart of Manhattan New York,132219692,Garen,Manhattan,Midtown,40.74683,-73.98761,Entire home/apt,158,1,138,2019-06-24,5.45,1,142
15995,12941015,2BR Apt in East Village,406843,Trevor,Manhattan,East Village,40.72889,-73.98006,Entire home/apt,250,3,33,2019-06-23,0.9,2,80
15808,12792132,Gramercy Studio,29859280,Denise,Manhattan,Gramercy,40.7367,-73.98099,Entire home/apt,150,2,13,2019-06-02,0.34,1,26
28635,22173887,Greenpoint in my heart ,3297475,Guy,Brooklyn,Greenpoint,40.72458,-73.94122,Private room,43,3,3,2018-07-07,0.16,1,0
42154,32725374,Bay Bungalow Bare-Minimum Occupancy,762610,Christopher,Queens,Arverne,40.599,-73.79603,Private room,35,3,11,2019-06-05,2.73,2,54
8191,6316005,well designed apt with yard!,656798,Manny,Brooklyn,Bedford-Stuyvesant,40.68068,-73.92874,Entire home/apt,280,3,152,2019-06-24,3.01,1,274
1337,587519,Huge Bdrm in New Wilibrg 3 Bed Loft,2897835,Tim,Brooklyn,Williamsburg,40.71099,-73.95217,Private room,48,5,1,2015-03-31,0.02,1,0
31104,24137748,Manhattan Studio doorman elevator 10min->Times Sq.,181858292,Johnny,Manhattan,Upper West Side,40.77864,-73.98482,Entire home/apt,140,2,34,2018-12-31,2.27,1,0
22800,18460679,"Bright, modern room with a view of NYC skyline",14666091,Joonas,Brooklyn,Bushwick,40.70028,-73.92439,Private room,90,5,16,2019-06-24,0.61,1,37
1333,585369,SOHO/VILLAGE CHARMING STUDIO,911596,Anna,Manhattan,Greenwich Village,40.72692,-73.99948,Entire home/apt,215,30,110,2019-04-02,1.3,1,332
23382,18924273,Private Budget Room for Awesome Guests #2,97018938,Ude,Brooklyn,Canarsie,40.63895,-73.90868,Private room,50,1,74,2019-06-15,2.88,2,179
14633,11553908,Comfy 1 bedroom Upper East Side Apartment (82/2nd),61003876,Darren,Manhattan,Upper East Side,40.77505,-73.95357,Entire home/apt,150,1,3,2018-03-19,0.1,1,0
39523,30773558,MANHATTAN NEWLY RENOVATED SPACIOUS MODERN FLAT!,191469946,Emmanuel,Manhattan,East Harlem,40.7942,-73.94091,Entire home/apt,350,1,27,2019-06-25,4.09,1,95
27624,21718529,Sunny room in Bushwick loft with skyline views,2793254,Johnny,Brooklyn,Bushwick,40.70466,-73.92043,Private room,100,3,26,2019-06-29,1.7,3,170
46657,35370678,Cozy  Spacious Near TIMES SQUARE,141778215,Sandy,Manhattan,Chelsea,40.74814,-73.99416,Entire home/apt,269,1,2,2019-06-12,2.0,1,238
20705,16417951,Cozy modern sunny room for 2,87690038,Wesly/Jessica,Brooklyn,Crown Heights,40.67525,-73.93333,Private room,52,2,123,2019-06-17,4.01,4,332
11874,9242243,Cozy 1bdrm apt in Midtown Manhattan,3335559,Sworupa,Manhattan,Midtown,40.76362,-73.97542,Private room,180,1,10,2019-06-06,0.3,1,175
31581,24601752,"Heaven in New York, Natural Room",185908506,Cynthia,Bronx,Edenwald,40.88634,-73.83431,Private room,75,3,19,2019-05-20,1.55,3,166
18900,15009618,Huge private bedroom in the heart of Times Square,37333386,Bianca,Manhattan,Hell's Kitchen,40.76408,-73.98996,Private room,129,1,98,2019-05-12,2.87,3,27
33002,26035350,Private Bedroom in Open Williamsburg Loft,195667782,Bill,Brooklyn,Williamsburg,40.70898,-73.94813,Private room,76,1,59,2019-06-20,4.57,1,44
23329,18889932,Beautiful cozy spacious Room near Park,11361046,Narina,Brooklyn,Crown Heights,40.66847,-73.94981,Private room,80,5,18,2018-04-30,0.72,1,312
11688,9096381,Brownstone apt in historic Brooklyn,2653685,Marisa & Tom,Brooklyn,Bedford-Stuyvesant,40.68282,-73.93289,Entire home/apt,120,2,74,2019-07-01,1.65,1,333
4601,3216335,Quiet Park Slope Apartment - August  specials!,16288928,Julie,Brooklyn,Park Slope,40.68193,-73.97636,Entire home/apt,330,2,122,2019-06-12,1.98,2,351
15314,12269953,Queen bed w/ attached bathroom,66089191,Jordan,Brooklyn,Bushwick,40.69177,-73.92509,Private room,50,7,2,2017-05-31,0.06,1,0
22830,18488077,Simple bright room for 1-2 people.,1540270,Ava,Brooklyn,Bushwick,40.69983,-73.91625,Private room,40,3,7,2017-06-01,0.26,1,12
23939,19313064,Bright and Comfortable Chic Chelsea 1-bedroom!,34006180,Zack,Manhattan,Chelsea,40.73996,-73.99987,Entire home/apt,200,3,3,2019-04-21,0.16,1,11
1786,803237,Duplex with two terraces and a view,3642035,Arsenio,Brooklyn,Crown Heights,40.67504,-73.95273,Entire home/apt,250,4,6,2019-01-02,0.08,1,250
48186,36128584,SOHO One  bedroom Good vibes Perfect location,1312063,Carla,Manhattan,SoHo,40.72548,-74.0021,Private room,200,1,1,2019-07-01,1.0,1,203
28648,22176542,Modern Comfort in West Village,162001851,Erica,Manhattan,West Village,40.73696,-74.00397,Entire home/apt,170,1,12,2018-05-11,0.65,1,0
30123,23229152,Private 1 bedroom - Great for Travel Nurses,131806850,Idara,Brooklyn,Kensington,40.64109,-73.97503,Private room,50,1,1,2018-03-14,0.06,1,0
35433,28109059,Private Room in Prime Crown Heights Location!,103411445,Nina,Brooklyn,Crown Heights,40.67613,-73.94578,Private room,59,2,25,2019-06-25,3.07,1,60
33963,26894687,"Cozy, spacious private room in Brooklyn apartment",19899115,Libby,Brooklyn,Crown Heights,40.6776,-73.95094,Private room,50,2,12,2018-11-13,1.01,2,0
4647,3258197,Large 1br Duplex in Heart of Upper East Side,16477306,Jeff,Manhattan,Upper East Side,40.76866,-73.95553,Entire home/apt,16,2,21,2019-06-30,1.69,1,9
15022,11973701,2BR Comfy Apt - 15min from MIDTOWN,15789646,Steven,Queens,Sunnyside,40.74518,-73.91704,Entire home/apt,150,30,7,2019-01-04,0.18,2,338
33312,26320074,3BR/2Bath Duplex Parkslope (15 min to Manhattan),118619861,Laurence,Brooklyn,Prospect Heights,40.67953,-73.97303,Entire home/apt,449,3,33,2019-06-30,2.82,1,329
4665,3271052,Gorgeous Apt 1 block from Subway,2009585,Cecile,Brooklyn,Cobble Hill,40.68785,-73.99181,Entire home/apt,145,3,13,2016-08-14,0.22,1,0
45195,34594922,Amazing 1 bdr in Upper East Side,19915612,Zarrar,Manhattan,Upper East Side,40.76718,-73.95748,Entire home/apt,180,2,1,2019-05-19,0.59,1,0
47391,35713184,"Prospect Park Historic 1BR near 2,5,Q, B, S trains",11503187,A,Brooklyn,Prospect-Lefferts Gardens,40.66085,-73.95586,Entire home/apt,1400,10,1,2019-07-02,1.0,1,17
1452,651475,"Comfortable, clean & quiet in EV",468752,Casper,Manhattan,Gramercy,40.73337,-73.984,Private room,109,1,323,2019-06-20,3.89,1,276
25660,20549878,Bright Apartment Nestled in Hamilton Heights,19537518,Brooks,Manhattan,Harlem,40.82239,-73.95437,Entire home/apt,115,3,5,2018-04-03,0.24,1,0
42140,32718338,Beautiful vintage apt in Williamsburg (ENTIRE APT),24809291,Luca,Brooklyn,Williamsburg,40.71438,-73.94359,Entire home/apt,130,5,1,2019-05-07,0.48,1,121
41288,32141173,Spacious Flat. Lux Building. 3 stops to Manhattan,17849213,Alexey,Brooklyn,Williamsburg,40.71695,-73.93847,Entire home/apt,110,1,7,2019-06-01,2.56,2,1
18668,14772701,2A Lovely one bedroom apartment in Williamsburg,49704571,Krzysztof,Brooklyn,Williamsburg,40.71943,-73.94255,Entire home/apt,89,30,11,2019-05-31,0.34,8,144
746,270231,Cozy New York  City private room,1366310,Janina,Queens,Woodside,40.74409,-73.91122,Private room,85,2,270,2019-07-07,2.95,2,306
42695,33138874,The Heart of the Bronx,249500015,Pedro,Bronx,Soundview,40.8265,-73.87045,Entire home/apt,103,2,19,2019-06-28,5.7,1,75
9264,7083264,"PERFECT: Times Squ., Broadway CntPrk, Bars, Eats,",32212535,Bronson & Sam,Manhattan,Hell's Kitchen,40.76551,-73.98899,Shared room,116,2,101,2018-12-01,2.07,2,42
18031,14120620,Modern Downtown Space for Families: 3 bed | 2 bath,16962957,Nick,Manhattan,Chinatown,40.71655,-73.99203,Entire home/apt,499,1,116,2019-06-30,3.24,4,30
28686,22191831,Spacious Apartment in Historic Harlem!,12517694,Rahel,Manhattan,Harlem,40.81244,-73.95261,Private room,67,2,8,2019-05-20,0.42,1,3
40538,31428785,Artist's huge family home in BK with Roof Deck!,230909887,Jennie And Dan,Brooklyn,Crown Heights,40.67674,-73.93083,Entire home/apt,133,2,7,2019-07-01,1.24,1,41
37208,29562919,Awesome space on your own floor with a PrivateBath,19011946,John,Brooklyn,Bay Ridge,40.63766,-74.02626,Private room,99,3,1,2018-10-25,0.12,2,362
20011,16018094,STUDIO in Wyndham Midtown 45 New York City!,69545883,Chayla,Manhattan,Midtown,40.75381,-73.97125,Private room,899,2,2,2016-12-09,0.06,12,365
34656,27491585,Private Room in Brooklyn Home,193502084,Linda,Brooklyn,Borough Park,40.64003,-74.00315,Private room,45,1,8,2019-04-01,0.76,8,0
35253,27956689,Spacious private room in the heart of EastVillage,71149842,Yaasha,Manhattan,East Village,40.72882,-73.97807,Private room,80,1,6,2019-01-06,0.58,2,0
14427,11317209,Modern Apartment in Williamsburg,20527254,Eddy,Brooklyn,Williamsburg,40.70821,-73.94719,Private room,65,2,9,2016-12-05,0.25,1,0
8256,6359266,"1 Train, Delis, Duane Read,Eat Outs",33128992,Sundar,Manhattan,Morningside Heights,40.81444,-73.95863,Private room,75,1,1,2015-05-18,0.02,1,0
33111,26129270,"Mi casa es su casa, La casa de Pupilos",6724903,Edgard,Queens,Middle Village,40.71293,-73.88402,Private room,70,2,20,2019-05-04,1.82,1,224
15933,12876883,Comfortable bedroom in spacious apt,11452065,Arthur,Brooklyn,Borough Park,40.64052,-73.99668,Private room,70,2,1,2016-06-13,0.03,1,0
17211,13623618,Lovely room close to subway in beautiful Astoria!,39375487,Suzanne,Queens,Long Island City,40.75353,-73.9289,Private room,80,2,16,2018-12-09,0.49,1,0
27873,21828822,Bushwick room filled with character and antiques!,34692600,Mateo,Brooklyn,Bushwick,40.69608,-73.91973,Private room,45,2,1,2017-12-12,0.05,1,0
19879,15930495,Great apt in amazing East Village!,1778121,Jay,Manhattan,East Village,40.72692,-73.98781,Private room,119,3,8,2018-11-02,0.25,1,76
18077,14153255,The Mahogany Suite- The Solo Adventurer l,52862385,The Mahogany Suite(Studio Apartment,Brooklyn,East Flatbush,40.6628,-73.93397,Private room,65,2,24,2019-06-17,0.71,3,290
28669,22187524,Cozy Modern Apartment With Skyline View,1661245,Pierre,Brooklyn,Williamsburg,40.71,-73.96775,Entire home/apt,250,7,2,2018-12-30,0.14,1,0
15793,12774885,"Spacious, cozy bedroom in a private home",69507287,Sarah,Bronx,Wakefield,40.88871,-73.86175,Private room,40,1,151,2019-07-01,4.01,1,338
1749,791452,Jazzy condo in Riverdale -fresh grown veggies,2556784,Claudia,Bronx,Fieldston,40.88757,-73.90522,Entire home/apt,60,1,25,2019-07-05,0.67,1,311
11760,9146175,BRAND NEW RENOVATED 2BR~TIMES SQR,2856748,Ruchi,Manhattan,Midtown,40.75687,-73.97321,Entire home/apt,245,30,1,2016-08-15,0.03,49,331
19403,15483201,Cute Bedroom for Two in Sunnyside near Manhattan,75458625,Lidia,Queens,Sunnyside,40.74777,-73.91685,Private room,108,3,36,2019-05-25,1.18,4,356
36391,28940952,"Modern, Well-Appointed Room in NYC!",8518665,Kevin,Brooklyn,Bedford-Stuyvesant,40.69246,-73.95863,Private room,48,2,47,2019-06-23,5.02,3,10
1003,406926,Nolita apt. with private garden,2027134,Marie-Helene,Manhattan,Nolita,40.7234,-73.99439,Entire home/apt,269,28,81,2019-07-03,0.93,1,122
13460,10083580,Cozy apartment in Brooklyn,22068394,Julian,Brooklyn,Bedford-Stuyvesant,40.69176,-73.94765,Private room,58,2,2,2016-06-13,0.05,1,0
23595,19087867,Luminescent Room In LES,97513787,Daniel,Manhattan,Chinatown,40.71595,-73.99329,Private room,68,20,6,2018-09-13,0.31,5,332
24400,19643642,One stop to midtown Manhattan one stop to Brooklyn,20440843,Safiah,Queens,Long Island City,40.7451,-73.94951,Private room,75,1,5,2018-09-28,0.23,1,0
26432,21042120,"Spacious bedroom, minutes to Manhattan!",31605872,Jacquelin And,Queens,Long Island City,40.76191,-73.93092,Private room,76,2,43,2019-06-23,2.02,1,8
28518,22105065,Sunny One bedroom w. Outdoor Space - Williamsburg,983477,Kaylan,Brooklyn,Greenpoint,40.71951,-73.95277,Entire home/apt,175,2,9,2018-09-23,0.56,1,0
39009,30476053,Gorgeous 2 Bed Oasis near Vibrant Prospect Park!,1229653,Nana & Karim,Brooklyn,Flatbush,40.64823,-73.9625,Entire home/apt,90,3,2,2019-04-29,0.33,1,0
15198,12145578,Spacious Parkside Abode,2589215,Caroline,Brooklyn,Flatbush,40.65206,-73.96149,Private room,100,4,5,2018-11-09,0.14,1,7
26015,20762089,Charming Boerum Hill Private 2 Bdrm Apt,12680161,Tirinda,Brooklyn,Boerum Hill,40.68418,-73.98373,Entire home/apt,250,1,97,2019-07-02,4.48,2,39
25092,20091873,Chic Union Square One Bedroom,52530136,James,Manhattan,Gramercy,40.73409,-73.98703,Entire home/apt,125,3,5,2018-02-19,0.23,1,0
33404,26395296,The Yorkville Gem,198482796,Janine,Manhattan,Upper East Side,40.78023,-73.95069,Shared room,110,7,15,2019-07-01,3.46,1,4
27989,21880580,Spacious Garden Apt in Clinton Hill/Ft Greene,29478455,Mary,Brooklyn,Clinton Hill,40.69049,-73.96842,Entire home/apt,115,3,4,2019-01-17,0.21,1,2
34644,27482592,"Cute, clean and sunny one bedroom with character",52644225,Alex And Tatiana,Queens,Sunnyside,40.74245,-73.92587,Entire home/apt,77,2,3,2018-09-10,0.29,1,0
2305,1113125,Huge 1br - tons of light - williamsburg,2733465,David,Manhattan,Nolita,40.72068,-73.99576,Entire home/apt,209,1,23,2018-07-23,0.46,1,365
25700,20574057,"Spacious BK Heights room, walk to Brooklyn Bridge",3376018,William,Brooklyn,Brooklyn Heights,40.69093,-73.9929,Private room,64,7,6,2019-06-11,0.7,1,0
10300,7884922,Artsy Duplex in Chelsea w/ Terrace,7139819,Nauman,Manhattan,Chelsea,40.74716,-74.00047,Entire home/apt,250,3,2,2016-12-04,0.05,2,0
4325,2889781,Holidays in Manhattan ,14724243,Inga,Manhattan,Upper East Side,40.77291,-73.95176,Entire home/apt,130,25,3,2018-07-18,0.05,1,161
3372,2022728,Room in Manhattan! 15min=TimeSquare,7580038,Jack Andrew,Manhattan,Harlem,40.82475,-73.94842,Private room,39,12,26,2019-04-26,0.42,3,155
28323,22014840,Sunny Bedroom Only 1 Metro Stop to Manhattan,32093643,Scarlett,Manhattan,Roosevelt Island,40.76211,-73.94887,Private room,70,2,2,2018-01-07,0.11,1,0
17492,13766130,Sunny room in Williamsburg with view of Manhattan,29600525,Andrew,Brooklyn,Williamsburg,40.70854,-73.96242,Private room,85,2,122,2019-06-14,3.35,1,258
47586,35812122,Room with Private Bathroom near Times Square,211196034,Sam,Manhattan,Hell's Kitchen,40.75895,-73.99509,Private room,189,4,1,2019-07-02,1.0,1,8
33428,26422113,Sunny Room in Brooklyn 2,34991003,Karen,Brooklyn,East Flatbush,40.64617,-73.92397,Private room,35,3,7,2019-06-04,0.57,3,319
32574,25541005,WeLive Wall Street -- One Bedroom Apartment,159610596,WeWork,Manhattan,Financial District,40.70583,-74.00545,Entire home/apt,225,1,22,2019-06-24,7.59,6,323
21181,16810023,"5m walk to L, Great Location ❤️ Priv. Bath/Balcony",1699648,Benjamin,Brooklyn,Williamsburg,40.71842,-73.94467,Private room,95,5,66,2019-06-11,2.24,1,25
34625,27465935,Cozy Bushwick Apartment,105983342,Isobel,Brooklyn,Bushwick,40.68863,-73.90638,Entire home/apt,100,1,1,2018-08-27,0.09,1,0
21735,17476768,AWESOME LOCATION STEPS TO L TRAIN !,118378908,Jose,Brooklyn,Williamsburg,40.71354,-73.95011,Private room,45,28,19,2019-05-31,0.72,6,297
10457,8012334,2 BR/2BA Near Lincoln Center/Central Park/Trains,21267483,Monica,Manhattan,Upper West Side,40.77569,-73.98028,Entire home/apt,250,1,3,2016-11-26,0.07,1,0
18290,14348580,Just Right in Lovely Greenpoint,60852834,Manny & Gemma,Brooklyn,Greenpoint,40.7294,-73.94977,Private room,56,7,69,2018-05-06,1.96,2,163
41246,32098667,"Sunny room in Downtown NYC, Two Bridges, Chinatown",240134265,Sam,Manhattan,Two Bridges,40.71214,-73.99643,Private room,97,1,30,2019-06-23,5.84,3,174
37487,29753750,Large Suite w/private bathroom by central park,223346842,Alex,Manhattan,Harlem,40.80551,-73.95136,Private room,92,2,44,2019-07-06,5.57,3,51
42351,32865017,Quiet Private Room in Heart of Jamaica smoke ok!,141645843,Gedan,Queens,Jamaica,40.681,-73.79592,Private room,33,1,3,2019-05-23,0.74,2,189
25252,20202650,Furnished one bedroom beauty in midtown NYC,120762452,Stanley,Manhattan,Murray Hill,40.74847,-73.97562,Entire home/apt,222,30,1,2018-08-03,0.09,50,365
3920,2432545,Your own apartment in Bushwick,3053987,Darwin And Nicole,Brooklyn,Bushwick,40.6911,-73.92125,Entire home/apt,79,3,43,2018-07-07,0.71,2,0
45684,34904836,Ft. Greene Loft,4267864,Heidi,Brooklyn,Fort Greene,40.69234,-73.97219,Entire home/apt,150,3,4,2019-06-30,3.64,1,1
22768,18432636,Great Apartment in the Heart of East Williamsburg,107778395,Alexander,Brooklyn,Williamsburg,40.71188,-73.94387,Private room,55,5,9,2018-12-04,0.34,1,20
19208,15294943,Beautiful Private Room near Columbia University,21594748,Gabriel,Manhattan,Morningside Heights,40.80751,-73.96619,Private room,110,2,5,2017-09-15,0.15,2,0
27308,21563750,Sunny Yellow BUSHWICK apt 25min to city SLEEPS 6 !,3532263,Alejandro,Brooklyn,Bushwick,40.69723,-73.92244,Entire home/apt,159,2,44,2019-06-24,2.15,4,352
